id	name	summary	url	published_at	guid	location	created_at	updated_at	tags	category	source
23689	Исландия хочет запретить порно в Интернете	"В правительстве Исландии хотят полностью перекрыть населению страны доступ к ""клубничке"" в Интернете, ввести ответственность за посещение порно-сайтов и даже закрыть стрип-клубы. Делается это для защиты детей и снижения уровня сексуального насилия."	http://www.vesti.ru/doc.html?id=1033835	02/15/2013 13:29:42	http://www.vesti.ru/doc.html?id=1033835		02/15/2013 18:01:40	02/17/2013 08:54:49			
23690	В Самаре стартовал судебный процесс по делу черных риелторов	Сегодня стартовал громкий судебный процесс по делу чёрных риелторов. Предварительное слушание в областном суде прошло в закрытом для прессы режиме. Участники организованной преступной группы обвиняются в тяжких и особо тяжких деяниях: мошенничестве, похищении людей и убийстве.	http://www.vesti.ru/doc.html?id=1033849	02/15/2013 13:51:00	http://www.vesti.ru/doc.html?id=1033849		02/15/2013 18:01:40	02/22/2013 06:01:10			
23691	300 миллионов направят на прибавку к зарплате воспитателям в детсадах	В Самаре более 300 миллионов рублей направят на прибавку к зарплате воспитателям в детских садах. Теперь зарплата работников дошкольного образования составит около 16,5 тысяч рублей. Это стало возможным благодаря экономии средств и поступившим из вышестоящих бюджетов почти 4 миллиардам рублей.	http://www.vesti.ru/doc.html?id=1033840	02/15/2013 13:35:00	http://www.vesti.ru/doc.html?id=1033840		02/15/2013 18:01:40	02/22/2013 06:01:10			
23692	О чем завтра расскажет Sony?	"Японская Sony 20 февраля проведет пресс-конференцию, посвященную ""будущему PlayStation"". Означает ли это, что миру покажут PlayStation 4? И когда стартуют продажи? Попробуем разобраться."	http://www.vesti.ru/doc.html?id=1036056	02/19/2013 06:00:00	http://www.vesti.ru/doc.html?id=1036056		02/19/2013 18:50:17	02/19/2013 18:50:17			
23693	Педофилу-убийце из Уссурийска грозит 20 лет тюрьмы	Подозреваемый в убийстве восьмилетней школьницы в Уссурийске во всем признался и рассказал следователям, как убивал девочку. Мужчину задержали почти сразу после обнаружения тела ребенка.	http://www.vesti.ru/doc.html?id=1040533	02/24/2013 15:20:00	http://www.vesti.ru/doc.html?id=1040533		02/24/2013 18:04:22	02/24/2013 18:04:22			
23694	Бразильцы стали меньше давить друг друга во время карнавала	Бразильская полиция отчиталась о своих достижениях на примере снижения количества ДТП, случающихся в период проведения карнавала. На основании имеющихся данных руководство правоохранительных органов делает вывод, что строгость - лучший метод борьбы за безопасность.	http://www.vesti.ru/doc.html?id=1033786	02/15/2013 14:48:00	http://www.vesti.ru/doc.html?id=1033786		02/15/2013 18:01:42	02/15/2013 18:01:42			
23695	Британка разглядела на картах Google призрак человека	Оказывается, на картах Google можно разглядеть не только таинственные объекты в китайской пустыне, но и призраков. Так, жительница Бристоля, от скуки изучавшая интернет-карты окрестностей, обнаружила силуэт мужчины на месте давно выгоревшей дотла деревни.	http://www.vesti.ru/doc.html?id=1033869	02/15/2013 14:54:00	http://www.vesti.ru/doc.html?id=1033869		02/15/2013 18:01:42	02/15/2013 18:01:42			
23696	Госдума сделает фиктивную прописку невыгодной	Государственная Дума приняла в первом чтении президентский законопроект о запрете фиктивной регистрации граждан по месту жительства.	http://www.vesti.ru/doc.html?id=1033857	02/15/2013 14:56:00	http://www.vesti.ru/doc.html?id=1033857		02/15/2013 18:01:43	02/15/2013 18:01:43			
23697	Доверие потребителей в США выросло сильнее ожиданий	Потребительское доверие в США в феврале выросло сильнее ожиданий. Об этом свидетельствуют предварительные данные Мичиганского университета.	http://www.vesti.ru/doc.html?id=1033897	02/15/2013 14:45:00	http://www.vesti.ru/doc.html?id=1033897		02/15/2013 18:01:42	03/04/2013 07:33:43			
23698	"""Чёрный тюльпан"" утонул в гвоздиках"	"15 февраля отмечается 24-я годовщина вывода советских войск из Афганистана. В Петрозаводске возложили цветы к ""чёрному тюльпану"" - памятнику воинам-интернационалистам."	http://www.vesti.ru/doc.html?id=1033865	02/15/2013 14:31:00	http://www.vesti.ru/doc.html?id=1033865		02/15/2013 18:01:42	03/04/2013 18:11:30			
23699	Канадский сноубордист чудом выжил, провалившись в ущелье. Видео	Экстремал из Канады чуть не погиб в швейцарских Альпах после того, как провалился в ущелье между двумя скалами.  Сноубордист выбрал короткую и, как выяснилось, смертельно опасную дорогу, пытаясь догнать уехавших вперед товарищей.  Инцидент запечатлела камера, установленная на шлеме туриста.	http://www.vesti.ru/doc.html?id=1033856	02/15/2013 14:27:00	http://www.vesti.ru/doc.html?id=1033856		02/15/2013 18:01:41	03/04/2013 07:33:43			
23700	"Сотрудника МЧС, ""оповестившего"" по СМС челябинцев о падении метеорита, уволят"	Сотрудник МЧС, сообщивший об СМС-оповещении жителей Челябинской области о падении метеорита, будет уволен. Об этом сообщила официальный представитель МЧС России Ирина Россиус.	http://www.vesti.ru/doc.html?id=1033862	02/15/2013 14:52:00	http://www.vesti.ru/doc.html?id=1033862		02/15/2013 18:01:42	03/04/2013 18:11:30			
23701	Во Владимире открылась выставка, посвященная 400-летию Дома Романовых	"""Династия Романовых  и Владимирский край"". Одноименная выставка открылась сегодня во владимирских Палатах. В год 400-летия Дома Романовых музей-заповедник открыл свои уникальные фонды."	http://www.vesti.ru/doc.html?id=1033868	02/15/2013 14:47:00	http://www.vesti.ru/doc.html?id=1033868		02/15/2013 18:01:42	02/22/2013 06:01:12			
23702	Метро в районы Новопеределкино и Солнцево пойдет через Раменки	"Метро в столичные районы Новопеределкино и Солнцево будут строить через Раменки. Об этом сообщил 15 февраля мэр Москвы Сергей Собянин. Он убежден, что вариант строительства новой линии через Раменки разумнее, чем продлять туда метро от станции ""Юго-Западная"", минуя район Румянцево."	http://www.vesti.ru/doc.html?id=1033825	02/15/2013 14:23:00	http://www.vesti.ru/doc.html?id=1033825		02/15/2013 18:01:41	03/04/2013 07:33:43			
23703	В память о Валерии Харламове ветераны скрестят клюшки с Шойгу	"В этом году легендарному советскому хоккеисту Валерию Харламову исполнилось бы 65 лет. В память о нем 16 февраля в ледовом дворце ЦСКА пройдет товарищеский матч между командами ""Ветераны ЦСКА"" и ""All Stars"". Телеканал ""Россия 2"", сайты Russia2.tv b Вести.Ru будут транслировать игру в прямом эфире."	http://www.vesti.ru/doc.html?id=1033872	02/15/2013 15:03:00	http://www.vesti.ru/doc.html?id=1033872		02/15/2013 18:01:43	02/15/2013 18:01:43			
23704	"Пассажир метро упал на рельсы на ""Шоссе Энтузиастов"""	"Мужчина упал на рельсы на станции ""Шоссе Энтузиастов"" Калининской линии столичного метро."	http://www.vesti.ru/doc.html?id=1033871	02/15/2013 15:11:00	http://www.vesti.ru/doc.html?id=1033871		02/15/2013 18:01:43	02/15/2013 18:01:43			
23705	Рекордсмены из Таиланда целовались больше 58 часов	В Таиланде завершилась ежегодное состязание, на котором пары пытаются попасть в Книгу рекордов Гиннесса, совершив самый длительный поцелуй в истории человечества. Победителем конкурса в Паттайе стала семейная пара. За свое достижение влюбленные получили крупную сумму денег и кольца с бриллиантами.	http://www.vesti.ru/doc.html?id=1033881	02/15/2013 15:26:00	http://www.vesti.ru/doc.html?id=1033881		02/15/2013 18:01:43	02/15/2013 18:01:43			
23706	"Швыдкой покидает ""Академию российского телевидения"""	"Президент ""Академии российского телевидения"" Михаил Швыдкой заявил о своем уходе с поста главы организации, отметив, что ""АРТ"" должен возглавить молодой и толковый человек."	http://www.vesti.ru/doc.html?id=1040535	02/24/2013 15:33:00	http://www.vesti.ru/doc.html?id=1040535		02/24/2013 18:04:22	02/24/2013 18:04:22			
23707	КАСКО: победы в судах в обмен на рост цен?	Верховный суд рассказал, кого нужно считать правым в той или иной спорной ситуации вокруг полисов КАСКО. Потребители ликуют: клиент оказался прав почти всегда. Страховщики пугают, что эта правота дорого обойдется покупателям полисов в будущем: рынок якобы отреагирует ростом цен.	http://www.vesti.ru/doc.html?id=1030674	02/15/2013 15:39:00	http://www.vesti.ru/doc.html?id=1030674		02/15/2013 18:01:44	02/15/2013 18:01:44			
23708	"""Гость из будущего"" Юрий Усачев и его жена напали на полицейских"	"В центре Москвы за сопротивление полиции были задержаны музыкант группы ""Гости из будущего"" Юрий Усачев и его жена. Впоследствии в крови у Усачева, находившегося за рулем иномарки, было обнаружено 0,71 промилле алкоголя. Решается вопрос о возбуждении уголовного дела."	http://www.vesti.ru/doc.html?id=1033870	02/15/2013 15:19:00	http://www.vesti.ru/doc.html?id=1033870		02/15/2013 18:01:43	02/22/2013 06:01:13			
23709	Оренбуржцы стали свидетелями метеоритного дождя	Оренбуржцы стали свидетелями метеоритного дождя. Ближе всего к предполагаемому месту происшествия оказалась воинская часть между Сакмарой и Чебеньками.	http://www.vesti.ru/doc.html?id=1033892	02/15/2013 15:45:00	http://www.vesti.ru/doc.html?id=1033892		02/15/2013 18:01:44	02/22/2013 06:01:13			
23710	Уго Чавес не может говорить	Власти Венесуэлы сообщили, что президент Уго Чавес не может говорить из-за последствий лечения. Одновременно они представили его фотографии, сделанные в гаванской клинике, где президент лечится после сделанной ему в декабре хирургической операции по удалению раковой опухоли.	http://www.vesti.ru/doc.html?id=1033883	02/15/2013 15:39:00	http://www.vesti.ru/doc.html?id=1033883		02/15/2013 18:01:44	02/17/2013 08:54:52			
23711	"Дело ""Оборонсервиса"": выявлены новые факты нанесения ущерба государству"	"Ущерб государству на 80 миллионов рублей выявила Главная военная прокуратура России от злоупотреблений должностных лиц ОАО ""Ремонтно-эксплуатационное управление"". Эта структура входит в состав ""Оборонсервиса"". В отношении руководства этой компании уже возбужден ряд уголовных дел."	http://www.vesti.ru/doc.html?id=1033864	02/15/2013 15:48:00	http://www.vesti.ru/doc.html?id=1033864		02/15/2013 18:01:44	03/04/2013 18:11:31			
23712	Армагеддон по-уральски: метеорит оставил место для фантазий	Ученые всего мира бьют тревогу: упавший на Урале метеорит наглядно напомнил о космической угрозе. Специалисты уверены, чтобы отразить такую опасность, необходимы усилия всех стран.	http://www.vesti.ru/doc.html?id=1033848	02/15/2013 15:17:00	http://www.vesti.ru/doc.html?id=1033848		02/15/2013 18:01:43	02/22/2013 06:01:13			
23713	Chevrolet SS может стать универсалом	Представленный в минувший уик-энд спортивный седан Chevrolet SS появится в шоу-румах дилеров к концу нынешнего года. Но к тому времени семейство SS может пополниться еще одной модификацией – в GM подумывают над выпуском спортивного универсала.	http://www.vesti.ru/doc.html?id=1036021	02/19/2013 06:10:00	http://www.vesti.ru/doc.html?id=1036021		02/19/2013 18:50:17	02/19/2013 18:50:17			
