geonameid;name;latitude;longitude;population;countrycode
4917358;Ратленд;43.61062;-72.97261;16495;US
4931972;ГУЛЯЙПОЛЕ;47.66389;36.25633;16442;UA
4932869;Пролетар;40.16713;69.50163;16441;TJ
4933743;Спрингфилд;36.50921;-86.885;16440;US
4937276;ЛАПЫ;52.9911;22.88422;16434;PL
4942618;Франкфурт;40.27948;-86.51084;16422;US
4948403;Браунау на Ин,Браунау на Ину,Браунау-на-Инне;48.25628;13.04343;16403;AT
4951788;Овруч;51.3246;28.80351;16398;UA
4955840;Албино;45.76378;9.79636;16394;IT
4956184;Сеснок;-32.83211;151.35623;16393;AU
4991640;Галанта;48.19001;17.72747;16365;SK
4992982;Шпитталь;46.8;13;16363;AT
4994358;Мацусима;38.37357;141.06105;16363;JP
5004188;Новые Милфорд;40.93268;-74.01785;16341;US
5011908;Гринфилд;36.3208;-121.24381;16330;US
5014051;Йичин;50.43723;15.35162;16328;CZ
5046997;Очаков,Очаків;46.61283;31.54982;16300;UA
5073965;Брвеница;41.96722;20.98083;16267;MK
5085520;РОКИШКИС,Рокишкис;55.96667;25.58333;16255;LT
5099133;Фармингтон;37.78088;-90.42179;16240;US
5101798;Уусикаупунки;60.80043;21.40841;16226;FI
5104504;Куламуту;-1.13032;12.47359;16222;GA
5108093;Боппард;50.23085;7.58992;16215;DE
5110302;Сэлмон-Арм;50.6998;-119.30237;16205;CA
5110629;Дублин;32.54044;-82.90375;16201;US
5145215;Сташув;50.56307;21.16593;16137;PL
5151861;Зальфельден-ам-Штайнернен-Меер;47.42681;12.848;16119;AT
5159537;Моронг;14.67889;120.26611;16117;PH
5160783;Куфштайн;47.58333;12.16667;16115;AT
5166009;МОСТЫ,Масты;53.4122;24.5387;16102;BY
5166177;Голая Пристань;46.5272;32.52417;16102;UA
5172387;ЗМИЕВ,Зміїв;49.69664;36.36109;16095;UA
5174358;ПИРЯТИН;50.2445;32.51073;16089;UA
5176937;Эль-Алия;37.1691;10.03478;16083;TN
5207069;Кастел Маджоре;44.57707;11.36071;16068;IT
5250201;Дамме;52.52157;8.19793;16024;DE
5253710;КУСАРЫ;41.42728;48.42893;16022;AZ
5254962;Монте-Карло;43.73976;7.42732;16012;MC
5263045;Ар-Руваис;24.11028;52.73056;16000;AE
5272893;Стара Любовня;49.29859;20.6862;16000;SK
5274644;Саригерме;36.71549;28.70436;16000;TR
5278422;Городок;49.78465;23.64806;15993;UA
5323060;ГАРГЖДАЙ,Гаргждай;55.71278;21.40333;15949;LT
5323810;Истон;38.77428;-76.07633;15945;US
5327422;Мерке;42.86772;73.17623;15934;KZ
5327684;Солин;43.5432;16.49314;15927;HR
5328041;Берлингтон;39.02756;-84.72411;15926;US
5329649;ОЛЕЦКО;54.03374;22.50704;15923;PL
5331575;Карфаген;36.86108;10.33161;15922;TN
5339066;Изабела;0;122.9888;15897;PH
5341145;Барэнту;15.10582;37.59067;15891;ER
5349613;Чаковец;46.38444;16.43389;15867;HR
5355828;Эскальдес-Энджордани;42.50729;1.53414;15853;AD
5357499;Мадисон;40.75982;-74.4171;15845;US
5359488;Дунаївці;48.88909;26.85636;15836;UA
5364329;Апостолове;47.66003;33.71369;15828;UA
5365918;Комсомольское;49.59701;36.52618;15825;UA
5368335;Веве,Вьове;46.46299;6.84345;15812;CH
5370164;Баруун-Урт;46.68056;113.27917;15805;MN
5375480;МИЛЯНУВЕК;52.11879;20.67155;15784;PL
5375911;Раковски;42.3;24.96667;15782;BG
5379513;Арциз;45.99194;29.41824;15761;UA
5384339;УДЖАРЫ;40.51902;47.65423;15741;AZ
5393052;Швехат;48.13333;16.46667;15711;AT
5396003;Шчучын,Щучин;53.6014;24.7465;15700;BY
5397664;Янаккала;60.9;24;15698;FI
5416005;Новий Буг;47.69308;32.5216;15646;UA
5423573;Геди;45.40108;10.27927;15627;IT
5462393;Биттерфельд;51.62355;12.32396;15608;DE
5515110;Порталегре;39.29379;-7.43122;15581;PT
5558953;Белем;-6.69167;-35.53333;15550;BR
5570160;Аврора;41.31755;-81.34539;15548;US
5586437;Монте Плата;18.807;-69.78399;15532;DO
5596475;Мизил;45.01667;26.45;15532;RO
5605242;Гайворон;48.33958;29.86791;15526;UA
5641727;ОЧАМЧИРА;42.71232;41.46863;15517;GE
5697939;Аарау;47.39254;8.04422;15501;CH
5699404;Столбцы,Стоўбцы;53.4785;26.7434;15500;BY
5703670;Бан  Хойяксяу;20.2467;100.45401;15500;LA
5713587;Спарта;37.07333;22.42972;15497;GR
5754005;Батавия;42.99812;-78.18752;15465;US
5777544;Буффало;45.17191;-93.87469;15453;US
5778755;Бангор;53.22647;-4.13459;15449;GB
5785243;Мандалговь;45.7625;106.27083;15430;MN
5788054;Семятиче,Сямятычы;52.42719;22.86231;15421;PL
5793427;Понт-а-Муссон;48.90786;6.0589;15411;FR
5794245;Буррель;41.61028;20.00889;15405;AL
5799625;ХЕЛМЖА,Хелмжа;53.18463;18.60466;15403;PL
5808276;Брауншвейг;31.14995;-81.49149;15383;US
5811696;Камењане;41.94444;20.92667;15376;MK
5814616;Оменя;45.87977;8.40802;15373;IT
5816605;Стерлинг;41.78864;-89.69622;15370;US
5821086;Хендерсон;36.32959;-78.39916;15368;US
5909294;Карденас;22.0017;-99.64179;15331;MX
5927689;Ромблон;12.57513;122.27081;15316;PH
63571;Бейжі?,Бээжин,Б???? бал?сн,Горад Пекін,Пекин,Пекинг,Пекін,Пекінґ;39.9075;116.39723;7480601;CN
76154;Горад Сідней,Сиднеи,Сидней,Сиднеј,Сидни,Сідней,Сідні;-33.86785;151.20732;4394576;AU
250774;Ганновер,Ганновэр,Горад Гановер,Ханновер,Хановер;52.37052;9.73322;515140;DE
257365;Джамнагаром;22.47292;70.06673;492056;IN
5942845;Калат-аль-Андалус;37.0629;10.11829;15313;TN
6078112;Ньюпорт;39.09145;-84.49578;15273;US
6092122;Урбино;43.72621;12.63633;15270;IT
6094817;МАРДАКЯН;40.49222;50.13889;15267;AZ
6101645;ЖАШКОВ,Жашків;49.24545;30.1102;15264;UA
6105815;Йямся;61.8642;25.19002;15261;FI
6138495;Ньютон;41.69971;-93.04798;15254;US
6138517;Ръшнов,Рышнов;45.58333;25.45;15253;RO
6138610;Радомышль;50.49613;29.22911;15252;UA
6173331;Зимница,Зимнич;43.66667;25.36667;15228;RO
6176823;Ат-Баши;41.17017;75.81058;15226;KG
6180961;Самобор;45.80306;15.71806;15221;HR
6230919;Вахш;37.71485;68.83456;15215;TJ
6246634;Ацаван;39.46405;45.97047;15208;AM
6295513;Босанска Крупа;44.8825;16.15139;15193;BA
6324729;Тейлор;30.57076;-97.40944;15191;US
6324733;Астара;38.45598;48.87498;15190;AZ
6534232;Брауншвейг;43.91452;-69.96533;15175;US
6534256;Джонсон Сити;42.11563;-75.95881;15174;US
6544103;Боговиње;41.92361;20.91361;15166;MK
6544104;НОСОВКА,Носівка;50.93152;31.58282;15164;UA
6544105;Тарквинии;42.25419;11.75657;15162;IT
6544106;Саранди;-27.94389;-52.92306;15158;BR
6544489;Саранда;39.87556;20.00528;15147;AL
6544494;Нуайон;49.58333;3;15138;FR
6545310;Людериц;-26.64806;15.15944;15137;NA
6559503;Вашингтон;40.70365;-89.40731;15134;US
6691235;Солец-Куявски;53.08371;18.22572;15125;PL
6692524;Павуло нел Фриняно;44.33146;10.835;15119;IT
6822146;Портленд;27.87725;-97.32388;15099;US
6825489;Даланзадгад;43.57083;104.425;15093;MN
7280708;ГОРОДИЩЕ;49.28489;31.44513;15063;UA
7281020;Спитак;40.8322;44.2673;15059;AM
7302845;Берковица;43.23611;23.12583;15027;BG
7302853;Боулдер;35.97859;-114.83249;15023;US
7302859;Детва;48.56082;19.41954;15020;SK
7303419;Сулюкта;39.93652;69.56779;15019;KG
7304020;Кханика;37.41853;66.04358;15018;AF
7521822;Василівка;47.43694;35.27417;15012;UA
7932638;КАРТУЗЫ;54.33424;18.19735;15002;PL
8015209;Нук,Нуук;64.18347;-51.72157;14798;GL
8224216;Аваруа;-21.20778;-159.775;13373;CK
8299576;Тарсхавн,Торсхавн;62.00973;-6.77164;13200;FO
8299577;Бастер;17.29484;-62.7261;12920;KN
8299614;Паго Паго,Пагопаго;-14.27806;-170.7025;11500;AS
8299615;Бас-Тер;15.99854;-61.72548;11472;GP
8299616;Мариехамн;60.09726;19.93481;10682;AX
8299617;Кастри;13.9957;-61.00614;10000;LC
8299620;Сент-Джоржес;12.05644;-61.74849;7500;GD
8315400;Мариго;18.06667;-63.08333;5700;MF
8468760;Вадуц;47.14151;9.52154;5197;LI
8469261;Лобамба;-26.46667;31.2;4557;SZ
8469265;Сан-Марино;43.93667;12.44639;4500;SM
8469281;Порт Стенли;-51.7;-57.85;2213;FK
8469284;Валли;18.21704;-63.05783;2035;AI
8469285;Филипсбург;18.026;-63.04582;1400;SX
8469286;Горад Мата-Уту,Мата-Уту;-13.28163;-176.17453;1200;WF
8469287;Аганья;13.47567;144.74886;1051;GU
8469289;Кингстон;-29.05459;167.96628;880;NF
8469290;Ватикан;41.90236;12.45332;829;VA
8469292;Алофис;-19.05952;-169.91867;624;NU
8469295;Адамстаун;-25.06597;-130.10147;46;PN
8504417;Порт-о-Франсэ;-49.35;70.21667;45;TF
8504423;Грютвикен;-54.28111;-36.5092;2;GS
90026;Шэньян;41.79222;123.43278;3512192;CN
90708;Горад Кейптаўн,Капске Місто,Кейптаун,Кејптаун;-33.92584;18.42322;3433441;ZA
96205;Горад Шэньчжэнь,Шеньчжень,Шенџен,Шънджън,Шэньчжэнь;22.54554;114.0683;3000000;CN
98885;Могадишу;2.03711;45.34375;2587183;SO
99062;Горад Кіеў,Кей?,Киев,Киев ош,Київ,Кијев,Кыив,Кыйив,К??въ;50.45466;30.5238;2514227;UA
99608;Бразилиа,Бразилия,Бразилија,?авзаи федералии Бразилиа;-15.77972;-47.92972;2207718;BR
103035;Картум,Хартум;15.55177;32.53241;1974647;SD
106909;Букурешт,Букурешть,Букурещ,Бухарест;44.43225;26.10626;1877155;RO
108512;Minsk - Мінск,Горад Мінск,Минск,Минск ош,Минскай,Мінск,Мінськ,М?ньскъ;53.9;27.56667;1742124;BY
110690;Дамаск,Дамаскъ,Димиш?;33.5102;36.29128;1569394;SY
112214;Горад Філадэльфія,Филаделфиа,Филаделфия,Филаделфија,Филадельфи,Филадельфий,Филадельфия,Філадельфія;39.95234;-75.16379;1526006;US
118743;Фукуока;33.60639;130.41806;1392289;JP
118805;Антананариво,Антананариву,Антананаріво,Тананариве;-18.91368;47.53613;1391433;MG
121925;Шаньтоу;23.36814;116.71479;1333973;CN
122438;Сан Диего,Сан Дијего,Сан-Диего,Сан-Дієго;32.71533;-117.15726;1307402;US
126972;Горад Мюнхен,Минхен,Мюнхен,М?нхэн,М?нхен;48.13743;11.57549;1260391;DE
131962;Горад Далас,Далас,Даллас;32.78306;-96.80667;1197816;US
135423;Капэнгаген,Копенгаген,Копенхаген;55.67594;12.56553;1153615;DK
138042;Горад Мантэрэй,Монтерей,Монтереј,Монтеррей;25.66667;-100.31667;1122874;MX
140046;Єреван,Јереван,Горад Ерэван,ЕРЕВАН,Ереван,Ереван ош;40.18111;44.51361;1093485;AM
141665;Горад Тбілісі,ТБИЛИСИ,Тбилис,Тбилиси,Тбилиси ош,Тбилис?,Тбілісі,Ттуплис,?ар?;41.69411;44.83368;1049498;GE
145531;Горад Кёльн,Келн,Кельн,Кьолн,Кёльн,К?льн;50.93333;0;963395;DE
148619;Хуайбэй;33.97444;116.79167;903039;CN
149606;Цицикар;47.34083;123.96722;882364;CN
150453;Майсур;12.29791;76.63925;868313;IN
151211;Горад Турын,Торино,Турин;45.07049;7.68682;865263;IT
153176;Індіанаполіс,Горад Індыянапаліс,Индианаполис,Индијанаполис;39.76838;-86.15804;829718;US
157863;Горад Калумбус,Коламбус,Колумбус,Кълъмбъс;39.96118;-82.99879;787033;US
160172;Бхубанешвар;20.27241;85.83385;762243;IN
161218;Сьюдад-Гуаяна;8.35122;-62.64102;746535;VE
161974;Горад Рыга,РИГА,Риг?,Рига,Ріґа;56.946;24.10589;742572;LV
163476;Ашгабат,Ашхабад,Ашхобад;37.95;58.38333;727700;TM
164025;Ланфан;39.50972;116.69472;720119;CN
165929;Єрусалим,Їєроусалимъ,Јерусалим,Горад Іерусалім,Ерусалим,Иерусалим,Йерусалим,Уршалим,?л-??дыс;31.76904;35.21633;714000;IL
172374;Сарагоса;41.65606;-0.87734;674317;ES
173480;Санту-Андре;-23.66389;-46.53833;662373;BR
174506;Франкфурт на Майн,Франкфурт на Мајни,Франкфурт-на-Майне;50.11552;8.68417;650000;DE
184745;Винипег,Виннипег,Вінніпег,Вінніпеґ,Горад Вініпег,Уинипег,Уиннипег;49.8844;-97.14704;632063;CA
186180;Яньчэн;33.38556;120.12528;628441;CN
187896;Керманшах,Кирмоншо?,Устони Кирмоншо?;34.31417;47.065;621100;IR
201463;Абу Даби,Абу-Даби,Абу-Дабі;24.46667;54.36667;603492;AE
204405;Горад Мілуокі,Милвоки,Милуоки,Мілуокі;43.0389;-87.90647;594833;US
214974;Оклахома Сити;35.46756;-97.51643;579999;US
217562;Горад Дзюсельдорф,Диселдорф,Дюселдорф,Дюссельдорф;51.22172;6.77616;573057;DE
225835;Гельсінкі,Горад Хельсінкі,Хелзинки,Хелсинки,Хельсинки,Хельсинки ош,?елсинк?;60.16952;24.93545;558457;FI
227812;Бахавалпура;29;71.68333;552607;PK
229362;Бремен,Брэмэн,Горад Брэмен;53.07516;8.80777;546501;DE
232422;ВИЛЬНЮС,Вилниус,Вилнус,Вилнюс,Вилн?ь,Вильнюс,Вилњус,Виљнус,Вільнюс,Горад Вільнюс;54.68916;25.2798;542366;LT
248923;Аоминь,Аумын,Макаа,Макао;22.20056;113.54611;520400;MO
260204;Жданов,Мариуполь,Маріуполь;47.06667;37.5;481626;UA
278913;Лонг Бийч,Лонг Бич,Лонг-Бич;33.76696;-118.18923;462257;US
282239;Понтианак;-0.03333;109.33333;455173;ID
284486;Чэндэ;40.9725;117.93611;449325;CN
285815;Вирджиния Бийч,Вирджиния-Бич;36.85293;-75.97798;437994;US
287814;Вилояти Карбало,Карбала,Кербала,Кербела;32.61603;44.02488;434450;IQ
289174;Джалгаоне;21.01009;75.56843;429298;IN
290030;Барселона;10.13333;-64.7;424795;VE
290187;Братислав?,Братислава,Братіслава,Братїслава,Горад Браціслава;48.14816;17.10674;423737;SK
293783;Китченер;43.42537;-80.5112;409112;CA
293844;Шчечин,Шчећин,Шчэцын,Шчэцін,Щецин,Щецін;53.42894;14.55302;407811;PL
294801;Майами,Маями,Маямі,Мајами;25.77427;-80.19366;399457;US
295548;САМСУН,Самсун;41.28667;36.33;394050;TR
296895;Окланд,Окленд,Оукланд,Оукленд;37.80437;-122.2708;390724;US
298316;Ресистенсия;-27.46056;-58.98389;387158;AR
298333;Абомей-Калави;6.44852;2.35566;385755;BJ
299582;Велингтон,Веллингтон,Веллінгтон,Горад Велінгтан,Уелингтън;-41.28664;174.77557;381900;NZ
301537;Балёнья,Болонья,Болоня,Болоња;44.49381;11.33875;371217;IT
303873;Крайстчёрч;-43.53333;172.63333;363926;NZ
304922;Жамбыл облысы,Тараз;42.9;71.36667;358153;KZ
306474;Билбао,Бильбао,Більбао,Горад Більбаа;43.26271;-2.92528;354860;ES
310855;Сананда?,Сенендедж;35.31495;46.99883;349176;IR
311453;Астана,Остона;51.1801;71.44598;345604;KZ
312899;??н? Орлеан,Њу Орлеанс,Горад Новы Арлеан,Новий Орлеан,Новый Орлеан,Ног Орлеан,Нью-Орлеанс,Ню Орлиънс,У Орлеан;29.95465;-90.07507;343829;US
318755;Бужумбура,Буџумбура;-3.3822;29.3644;331700;BI
320995;Горад Канбера,Канбера,Канберр?,Канберра,Канбєра;-35.28346;149.12807;327700;AU
324944;Сейнт Луис,Сент-Луис,Сент-Луїс;38.62727;-90.19789;319294;US
330120;Чимботе;-9.08528;-78.57833;316966;PE
333356;Бон,Бонн,Горад Бон;50.73438;7.09548;313125;DE
337152;Антафагаста,Антофагаста;-23.65236;-70.3954;309832;CL
341297;Порту-Велью,Порту-Велю;-8.76194;-63.90389;306180;BR
343409;ГЯНДЖА,Гянджа;40.68278;46.36056;303268;AZ
347497;Джуба;4.85165;31.58247;300000;SS
350203;ЧЕРКАССЫ,Черкаси,Черкассы;49.42854;32.06207;297568;UA
353802;Фос-ду-Игуасу;-25.54778;-54.58806;293523;BR
354502;СЕМИПАЛАТИНСК,Семей,Семипалатинск,Семипалатинськ;50.42675;80.26669;292780;KZ
355026;Минна;9.61389;6.55694;291905;NG
356806;Бафуссама;5.47366;10.41786;290768;CM
358269;Виктори,Виктория,Викторија,Вікторія;48.43294;-123.3693;289625;CA
360686;Биласпура;22.07402;82.1566;282705;IN
361329;ГОРЛОВКА,Горловка,Горлівка;48.34698;38.05419;278550;UA
363619;Стразбур,Страсбург;48.58342;7.74296;274845;FR
