AD	Андорра	Андорра-ла-Велья	42.50000000000000000	1.50000000000000000
AE	ОАЭ	Абу-Даби	24.00000000000000000	54.00000000000000000
AF	Афганистан	Кабул	33.00000000000000000	65.00000000000000000
AG	Антигуа и Барбуда	Сент-Джонс	17.05000000000000000	-61.80000000000000000
AI	Ангилья	Валли	18.25000000000000000	-63.17000000000000000
AL	Албания	Тирана	41.00000000000000000	20.00000000000000000
AM	Армения	Ереван	40.00000000000000000	45.00000000000000000
AO	Ангола	Луанда	-12.50000000000000000	18.50000000000000000
AQ	Антарктида		-90.00000000000000000	0.00000000000000000
AR	Аргентина	Буэнос-Айрес	-34.00000000000000000	-64.00000000000000000
AS	Американское Самоа	Пагопаго	-14.33000000000000000	-170.00000000000000000
AT	Австрия	Вена	47.33000000000000000	13.33000000000000000
AU	Австралия	Канберра	-27.00000000000000000	133.00000000000000000
AW	Аруба	Ораньестад	12.50000000000000000	-69.97000000000000000
AZ	Азербайджан	Баку	40.50000000000000000	47.50000000000000000
BA	Босния	Сараево	44.00000000000000000	18.00000000000000000
BB	Барбадос	Бриджтаун	13.17000000000000000	-59.53000000000000000
BD	Бангладеш	Дакка	24.00000000000000000	90.00000000000000000
BE	Бельгия	Брюссель	50.83000000000000000	4.00000000000000000
BF	Буркина Фасо	Уагадугу	13.00000000000000000	-2.00000000000000000
BG	Болгария	София	43.00000000000000000	25.00000000000000000
BH	Бахрейн	Манама	26.00000000000000000	50.55000000000000000
BI	Бурунди	Бужумбура	-3.50000000000000000	30.00000000000000000
BJ	Бенин	Порто-Ново	9.50000000000000000	2.25000000000000000
BM	Бермудские о-ва	Гамильтон	32.33000000000000000	-64.75000000000000000
BN	Бруней Даруссалам	Бандар-Сери-Бегаван	4.50000000000000000	114.67000000000000000
BO	Боливия	Сукре	-17.00000000000000000	-65.00000000000000000
BR	Бразилия	Бразилия	-10.00000000000000000	-55.00000000000000000
BS	Багамы	Нассау	24.25000000000000000	-76.00000000000000000
BT	Бутан	Тхимпху	27.50000000000000000	90.50000000000000000
BV	Остров Буве		-54.43000000000000000	3.40000000000000000
BW	Ботсвана	Габороне	-22.00000000000000000	24.00000000000000000
BY	Беларусь	Минск	53.00000000000000000	28.00000000000000000
BZ	Белиз	Бельмопан	17.25000000000000000	-88.75000000000000000
CA	Канада	Оттава	60.00000000000000000	-95.00000000000000000
CF	ЦАР	Банги	7.00000000000000000	21.00000000000000000
CG	Конго	Браззавиль	-1.00000000000000000	15.00000000000000000
CH	Швейцария	Берн	47.00000000000000000	8.00000000000000000
CI	Кот-д'Ивуар	Ямусукро	8.00000000000000000	-5.00000000000000000
CK	Острова Кука	Аваруа	-21.23000000000000000	-159.77000000000000000
CL	Чили	Сантьяго	-30.00000000000000000	-71.00000000000000000
CM	Камерун	Яунде	6.00000000000000000	12.00000000000000000
CN	Китай	Пекин	35.00000000000000000	105.00000000000000000
CO	Колумбия	Богота	4.00000000000000000	-72.00000000000000000
CR	Коста-Рика	Сан-Хосе	10.00000000000000000	-84.00000000000000000
CU	Куба	Гавана	21.50000000000000000	-80.00000000000000000
CV	Острова Зеленого Мыса	Прая	16.00000000000000000	-24.00000000000000000
CY	Кипр	Никосия	35.00000000000000000	33.00000000000000000
CZ	Чешская Республика	Прага	49.75000000000000000	15.50000000000000000
DE	Германия	Берлин	51.00000000000000000	9.00000000000000000
DJ	Джибути	Джибути	11.50000000000000000	43.00000000000000000
DK	Дания	Копенгаген	56.00000000000000000	10.00000000000000000
DM	Остров Доминика	Roseau	15.42000000000000000	-61.33000000000000000
DO	Доминиканская Республика	Санто-Доминго	19.00000000000000000	-70.67000000000000000
DZ	Алжир	Алжир	28.00000000000000000	3.00000000000000000
EC	Эквадор	Кито	-2.00000000000000000	-77.50000000000000000
EE	Эстония	Таллин	59.00000000000000000	26.00000000000000000
EG	Египет	Каир	27.00000000000000000	30.00000000000000000
ER	Эритрея	Асмэра	15.00000000000000000	39.00000000000000000
ES	Испания	Мадрид	40.00000000000000000	-4.00000000000000000
ET	Эфиопия	Аддис-Абеба	8.00000000000000000	38.00000000000000000
FI	Финляндия	Хельсинки	64.00000000000000000	26.00000000000000000
FJ	Фиджи	Сува	-18.00000000000000000	175.00000000000000000
FK	Фолклендские о-ва	Stanley	-51.75000000000000000	-59.00000000000000000
FM	Микронезия	Паликир	6.92000000000000000	158.25000000000000000
FO	Фарерские о-ва	Торсхавн	62.00000000000000000	-7.00000000000000000
FR	Франция	Париж	46.00000000000000000	2.00000000000000000
GA	Габон	Либревиль	-1.00000000000000000	11.75000000000000000
GB	Великобритания	Лондон	54.00000000000000000	-2.00000000000000000
GD	Гренада	Сент-Джоржес	12.12000000000000000	-61.67000000000000000
GE	Грузия	Тбилиси	42.00000000000000000	43.50000000000000000
GF	Французская Гвиана	Кайенна	4.00000000000000000	-53.00000000000000000
GH	Гана	Аккра	8.00000000000000000	-2.00000000000000000
GI	Гибралтар	Гибралтар	36.18000000000000000	-5.37000000000000000
GL	Гренландия	Нуук	72.00000000000000000	-40.00000000000000000
GM	Гамбия	Банжул	13.47000000000000000	-16.57000000000000000
GN	Гвинея	Конакри	11.00000000000000000	-10.00000000000000000
GP	Гваделупа	Бас-Тер	16.25000000000000000	-61.58000000000000000
GQ	Экваториальная Гвинея	Малабо	2.00000000000000000	10.00000000000000000
GR	Греция	Афины	39.00000000000000000	22.00000000000000000
GT	Гватемала	Гватемала	15.50000000000000000	-90.25000000000000000
GU	Гуам	Аганья	13.47000000000000000	144.78000000000000000
