geonameid;name;asciiname;altnames;lat;long;fclass;fcode;ccode;cc2;acode1;acode2;acode3;acode4;pop;elev;gtopo;tz;mdate
1503900;Kemerovskaya Oblast’;Kemerovskaya Oblast';Kemerovo,Kemerovo Oblast',Kemerovo Oblast’,Kemerovskaja oblast,Kemerovskaja oblast',Kemerovskaya Oblast',Kemerovskaya Oblast’,NULL,Кемеровская область;55;86;A;ADM1;RU;;29;;;;2827246;;206;Asia/Novokuznetsk;16.01.2012
511180;Perm Krai;Perm Krai;Molotov Oblast,Molotovskaya Oblast',Molotovskaya Oblast’,NULL,Perm,Permskaja oblast,Permskaja oblast',Permskij kraj,Permsky kray,Пермский край,Пермская область;59;57;A;ADM1;RU;;90;;;;2819421;;206;Asia/Yekaterinburg;01.05.2009
498671;Saratovskaya Oblast’;Saratovskaya Oblast';NULL,Saratov,Saratov Oblast,Saratovskaja oblast,Saratovskaja oblast',Saratovskaya Oblast',Saratovskaya Oblast’,Саратовская область;51.5;47;A;ADM1;RU;;67;;;;2648495;;83;Europe/Volgograd;28.02.2012
1511732;Altayskiy Kray;Altayskiy Kray;Altai Krai,Altaj,Altajskij kraj,Altay,Altayskiy,Altayskiy Kray,Алтайский край;52.5;83;A;ADM1;RU;;4;;;;2586976;;202;Asia/Omsk;16.01.2012
567293;Respublika Dagestan;Respublika Dagestan;Dag'istan,Dagestan,Dagestan A.S.S.R.,Dagestan Respubliki,Dagestani Vabariik,Dagestano,Dagestanskaya ASSR,Dagestanskaya Avtonomnaya Sovetskaya Sotsialisticheskaya Respublika,Dagestn,Daghestan,Dagistan,Daguestan,Daguestao,Daguestn,Daguesto,Daxistan,Dastan,Respublika Dagestan,da ji si tan gong he guo,dageseutan gonghwagug,dagesutan gong he guo,daghstan,Дагестан,Дагестан Республики,Дагъистан,Даьесан Аынарра,Республика Дагестан,,,,,, ;43;47;A;ADM1;RU;RU;17;;;;2576531;;517;Europe/Moscow;16.01.2012
472039;Voronezhskaya Oblast’;Voronezhskaya Oblast';NULL,Voronezh Oblast,Voronezhskaja oblast',Voronezhskaya Oblast',Voronezhskaya Oblast’,Voronezj,Voronezjskaja oblast,Воронежская область;51;40.5;A;ADM1;RU;;86;;;;2345910;;135;Europe/Moscow;16.01.2012
1496152;Omskaya Oblast’;Omskaya Oblast';NULL,Omsk,Omsk Oblast,Omskaja oblast,Omskaja oblast',Omskaya Oblast',Omskaya Oblast’,Омская область;56;73;A;ADM1;RU;;54;;;;2054238;;101;Asia/Omsk;16.01.2012
2017623;Primorskiy Kray;Primorskiy Kray;Krai De Primorsky,Maritime Krai,Maritime Territory,Primorje,Primorski Krai,Primorskij kraj,Primorskiy,Primorskiy Kray,Приморский край;45;135;A;ADM1;RU;;59;;;;2021901;;492;Asia/Vladivostok;16.01.2012
480508;Tul’skaya Oblast';Tul'skaya Oblast';NULL,Tul'skaja oblast',Tul'skaya Oblast',Tula,Tula Oblast,Tulskaja oblast,Tul’skaya Oblast',Тульская область;54;37.5;A;ADM1;RU;;76;;;;1628465;;249;Europe/Moscow;28.02.2012
479613;Udmurtskaya Respublika;Udmurtskaya Respublika;Respublika Udmurtija,Udmurt A.S.S.R.,Udmurtia,Udmurtien,Udmurtija,Udmurtiya,Udmurtskaya ASSR,Udmurtskaya Avtonomnaya Sovetskaya Sotsialisticheskaya Respublika,Udmurtskaya Respublika,Республика Удмуртия,Удмуртия;57;53;A;ADM1;RU;;80;;;;1552897;;118;Europe/Samara;16.01.2012
824987;Gorod Belgorod;Gorod Belgorod;;50.59857;36.59273;P;PPLA;RU;;9;824987;;;1531044;;127;Europe/Moscow;28.02.2012
