geonameid;name;latitude;longitude;fclass;acode;population
571476;Брянск,Брјанск;53.25209;34.37167;P;10;427236
555312;Иваново;56.99719;40.97139;P;21;420839
532288;МАГНИТОГОРСК,Магнитогорск;53.41861;59.04722;P;13;413351
538560;Курск,Курськ;51.73733;36.18735;P;41;409431
480060;Горад Цвер,Калинин,Тверь;56.86049;35.87603;P;77;400212
520494;Нижний Тагил;57.91944;59.965;P;71;381116
487846;Ставрополь;45.0428;41.9734;P;70;363064
2014407;Верхнеудинск,Улаан-Удэ,Улаан-дэ,Улан Уде,Улан-Удэ;51.82605;107.60979;P;11;360278
581049;Архангельск;64.5401;40.5433;P;6;356051
578072;Белгород;50.61074;36.58015;P;9;345289
1501321;Курган;55.45;65.33333;P;40;343129
553915;Калуг,Калуга;54.5293;36.27542;P;25;338978
491422;Sochi - Сочи,Сочи,Сочі;43.59917;39.72569;P;38;327608
515012;Орел,Орёл;52.96508;36.0785;P;56;324200
472231;ВОЛЖСКИЙ,Волжский;48.78583;44.77973;P;84;323293
491687;Смаленск,Смоленск;54.7818;32.0401;P;69;320991
524305;Мурманск;68.97917;33.09251;P;49;319263
473249;Владикавказ,Дзуджыхъу,Орджоникидзе;43.03667;44.66778;P;68;317370
569223;Череповец;59.13333;37.9;P;85;311850
473247;Владимир,Володимир;56.13655;40.39658;P;83;310024
2025339;Чита;52.03171;113.50087;P;93;308500
498698;Саранск;54.1838;45.1749;P;46;303394
1490624;СУРГУТ,Сургут;61.25;73.41667;P;32;300367
472459;Вологд,Вологда,Волоґда,Влгда,Горад Волагда;59.2187;39.8886;P;85;294889
484646;Тамбов;52.73169;41.44326;P;72;290933
553972;Калмыкия,Калмыкская республика,Республика Калмыкия;46.5;45.5;A;24;284668
466806;ЙОШКАР-ОЛА,Йошкaр-Ола,Йошкар-Ола;56.63877;47.89078;P;45;279100
484907;ТАГАНРОГ,Таганрог;47.23617;38.89688;P;61;279056
543878;Кострома;57.76647;40.92686;P;37;277656
2021851;Комсомольск-на-Амуре;50.55199;137.01524;P;30;275908
523523;НАЛЬЧИК,Нальчик;43.49806;43.61889;P;22;272800
504756;Промышленный Район;53.26314;50.19872;A;65;268675
487495;СТЕРЛИТАМАК,Стерл,Стерлитамак;53.62462;55.95015;P;8;267231
509820;Петрозаводск;61.78491;34.34691;P;28;265025
2051523;БРАТСК,Братск,Брацк;56.1325;101.61417;P;20;256600
563708;ДЗЕРЖИНСК;56.24143;43.45539;P;51;256537
514734;ОРСК,Орск;51.20487;58.56685;P;55;246836
1497543;НИЖНЕВАРТОВСК,Нижневартовск;60.9344;76.5531;P;32;244937
2027667;АНГАРСК,Ангарск,Ангарськ;52.53667;103.88639;P;20;243158
518255;Новоросијск,Новороссийск;44.72439;37.76752;P;38;241856
2013159;ЯКУТСК,Якутск;62.03389;129.73306;P;63;235600
521118;Анат Кама,НИЖНЕКАМСК,Нижнекамск;55.63657;51.82447;P;73;234297
548369;Кировский Район;53.23814;50.22587;A;65;231064
485239;Сиктивкар,Сыктывкар,Усть-Сысольск;61.67642;50.80994;P;34;230139
487928;СТАРЫЙ ОСКОЛ,Старий Оскол,Старый Оскол;51.29667;37.84167;P;9;226977
558418;Грозни,Грозный,Джовхар-ГІала,Джовхар-Гала,Джохар,Джохаргала,Соьлж-ГІала,Соьлжа-ГІала;43.31195;45.68895;P;12;226100
496015;ШАХТЫ,Шахти,Шахты;47.70911;40.21443;P;61;221312
2026609;Blаgоvеsjtsjеnsk,Благовещенск,Благовјешченск;50.26667;127.53333;P;5;221296
1494114;ПРОКОПЬЕВСК,Прокопьевск;53.9059;86.719;P;29;219000
500004;РЫБИНСК,Рибинск,Рыбинск;58.0446;38.84259;P;88;216724
463829;Зеленоград;55.9825;37.18139;P;48;215727
1510018;БИЙСК,Бийск,Бійськ;52.53639;85.20722;P;4;215430
519336;Велики Новгород,Великий Новгород,Новгород,Новъ Градъ,Новъградъ;58.51667;31.28333;P;52;215062
504341;Псков;57.8136;28.3496;P;60;201990
579492;БАЛАКОВО,Балаково;52.02782;47.8007;P;67;199572
580922;АРМАВИР,Армавир;44.9892;41.1234;P;38;199548
563464;ЭНГЕЛЬС,Энгельс;51.48389;46.10528;P;67;196011
496285;СЕВЕРОДВИНСК,Северодвинск;64.5635;39.8302;P;6;194292
462444;ЗЛАТОУСТ,Златоуст;55.17111;59.65083;P;13;191366
484972;СЫЗРАНЬ,Сызрань;53.1585;48.4681;P;65;189338
2122104;Петропавловск Камчатски,Петропавловск-Камчатский;53.0452;158.6483;P;92;187282
1504826;Каменск-Уральский;56.4185;61.9329;P;71;182500
508101;Подольск;55.42418;37.55472;P;47;179400
490011;Советский Район;53.19177;50.17841;A;65;178372
2119441;Јужно-Сахалинск,Южно-Сахалинск,Южно-Сахалінськ;46.95812;142.73366;P;64;176484
2131663;Город Магадан;59.66667;150.66667;A;44;169501
577206;БЕРЕЗНИКИ,Березники;59.4091;56.8204;P;90;167748
472761;ВОЛГОДОНСК,Волгодонск;47.51361;42.15139;P;61;167731
1498894;Миасс,Міас;55.045;60.10833;P;13;167500
1512236;Abakn - Абакан,АБАКАН,Абакан;53.71556;91.42917;P;31;167289
518970;НОВОЧЕРКАССК,Новочеркаск,Новочеркасск;47.42018;40.09132;P;61;166974
523064;НАЗРАНЬ,Назрань;43.22597;44.77323;P;19;164131
1493467;РУБЦОВСК,Рубцовск;51.5;81.25;P;4;161065
523812;Митишчи,Мытищи;55.91163;37.73076;P;47;160542
499292;САЛАВАТ,Салават;53.38365;55.90773;P;8;159893
528293;Майкоп,Мајкоп;44.60778;40.10583;P;1;158451
2014006;УССУРИЙСК,Уссурийск;43.8059;131.9752;P;59;157068
532615;ЛЮБЕРЦЫ,Люберцы;55.67719;37.89322;P;47;154650
543460;КОВРОВ,Ковров;56.35722;41.31917;P;83;154224
515822;Октябрьский Район;52.71667;41.45;A;72;154087
579464;Балашиха;55.80945;37.95806;P;47;150103
546230;КОЛОМНА,Каломна,Коломна;55.07944;38.77833;P;47;147690
2019528;Горад Находка,НАХОДКА,Находк,Находка,Нахотка;42.8118;132.9095;P;59;146920
563523;Электросталь;55.78959;38.44671;P;47;144387
503550;П'ятигорськ,ПЯТИГОРСК,Пятигорск;44.04861;43.05944;P;70;142865
550280;Химки;55.89704;37.42969;P;48;142618
515814;Октябрьский Район;56.85;53.23333;A;80;141143
1497337;НОРИЛЬСК,Норильск;69.3535;88.2027;P;91;140800
582432;АЛЬМЕТЬЕВСК,Альметьевск;54.90442;52.3154;P;73;140437
554233;Королев,Королёв;55.91417;37.82556;P;47;139798
516215;Одинцово;55.67798;37.27773;P;47;137041
546105;Колпино;59.75069;30.58856;P;66;136076
522377;НЕВИННОМЫССК,Невинномысск;44.6333;41.9444;P;70;134345
510808;Первоуральск;56.90528;59.94361;P;71;133600
548114;Kislovodsk - Кисловодск,Кисловодск;43.91333;42.72083;P;70;132771
566199;ДИМИТРОВГРАД;54.21386;49.61838;P;81;132226
518557;НОВОМОСКОВСК,Новомосковск;54.0105;38.2846;P;76;130982
550476;Хасавюртовский Район;43.33333;46.66667;A;17;130471
553287;КАМЫШИН,Камышин;50.09833;45.41601;P;84;128626
518976;н Шупашкар,НОВОЧЕБОКСАРСК,Новочебоксарск;56.11095;47.47755;P;16;128468
496527;СЕРПУХОВ,Серпухов;54.91578;37.41114;P;47;128158
524294;МУРОМ,Муром;55.575;42.0426;P;83;126931
550478;ХАСАВЮРТ,Хасавюрт;43.2509;46.58766;P;17;126829
522942;НЕФТЕКАМСК,Нефтекамск;56.092;54.2661;P;8;126805
510847;Первомайский Район;56.85;53.23333;A;80;125437
515024;ОРЕХОВО-ЗУЕВО,Орехово-Зуево;55.80672;38.96178;P;47;120000
1512165;АЧИНСК,Ачинск;56.2694;90.4993;P;91;117634
569154;Черкесск;44.22333;42.05778;P;27;116224
520068;НОГИНСК,Ногинск;55.86647;38.4438;P;47;115979
467978;ЕЛЕЦ,Елец;52.62366;38.50169;P;43;115688
1489530;Тобольск;58.19807;68.25457;P;78;113800
495344;Щелково,Щёлково;55.89303;38.0586;P;47;113000
536054;Ленинский Район;56.85;53.23333;A;80;112870
1497917;НЕФТЕЮГАНСК,Нефтеюганск;61.09979;72.60349;P;32;112632
518659;НОВОКУЙБЫШЕВСК,Новокуйбышевск;53.0959;49.9462;P;65;111800
515821;Октябрьский Район;53.22154;50.15547;A;65;110142
1496503;НОЯБРЬСК,Ноябрьск;63.19936;75.45067;P;87;110000
578740;Батайск;47.13975;39.75181;P;61;109962
1538637;Северск;56.60056;84.88639;P;75;109844
580724;АРЗАМАС,Арзамас;55.39485;43.83992;P;51;109479
496638;Сергиев Посад,Сергијев Посад;56.3;38.13333;P;47;109252
1500665;Ленинск-Кузнетский,Ленинск-Кузнецкий;54.6567;86.1737;P;29;109023
1500973;КЫЗЫЛ,Кизил,Кызыл;51.7;94.45;P;79;108240
515879;Октябрьский;54.48147;53.47103;P;8;108200
516436;ОБНИНСК,Обнинск;55.09681;36.61006;P;25;107392
563514;Элиста;46.30778;44.25583;P;24;106971
517836;НОВОТРОИЦК,Новотроицк;51.20301;58.32665;P;55;106186
566532;ДЕРБЕНТ,Дербенд,Дербент;42.0678;48.28987;P;17;105965
536064;Ленинский Район;54.33;48.4;A;81;105009
1503277;КИСЕЛЕВСК,Киселёвск;53.99;86.6621;P;29;104000
476077;ВЕЛИКИЕ ЛУКИ,Великие Луки;56.34;30.54517;P;60;103149
503977;ПУШКИНО,Пушкино;56.01722;37.86667;P;47;102816
2027456;АРТЕМ,Артём;43.3586;132.1908;P;59;102300
479411;УХТА,Ухта;63.56705;53.68348;P;34;102187
1504682;КАНСК,Канск;56.20167;95.7175;P;91;101502
1498920;МЕЖДУРЕЧЕНСК,Междуреченск;53.69417;88.06028;P;29;101026
491023;СОЛИКАМСК,Соликамск;59.6316;56.7685;P;90;100812
561347;ГЛАЗОВ,Глаз,Глазов;58.1393;52.658;P;80;100676
2013952;Усть-Илимск;58.00056;102.66194;P;20;100271
1538634;Озерск,Озёрск;55.75556;60.70278;P;13;100000
463355;Железнодорожный;55.744;38.01684;P;47;100000
463835;Зеленодольск,Зелёнодольск;55.84376;48.51784;P;73;99600
517963;НОВОШАХТИНСК,Новошахтинск;47.76037;39.93335;P;61;99478
498687;Сарапул;56.47633;53.79782;P;80;98830
471430;Вотка,Воткинск;57.04865;53.98717;P;80;98633
1492663;СЕРОВ,Серов;59.60334;60.5787;P;71;98438
579460;БАЛАШОВ,Балашов;51.5502;43.1667;P;67;98107
463343;ЖЕЛЕЗНОГОРСК,Железногорск;52.331;35.3711;P;41;97900
462755;ЖУКОВСКИЙ;55.59528;38.12028;P;47;97200
2123628;Магадан;59.56667;150.8;P;44;95282
1496511;Новый Уренгой;66.08333;76.63333;P;87;94212
1538636;ВЕРХ-НЕЙВИНСКИЙ,Новоуральск;57.24389;60.08389;P;71;93849
1538635;Железногорск;56.25111;93.53194;P;91;93834
527191;МИЧУРИНСК,Мичуринск;52.8978;40.4907;P;72;93499
548605;КИНЕШМА,Кинешма;57.43914;42.12894;P;21;92983
542374;КРАСНОГОРСК,Красногорск;55.82036;37.33017;P;47;92932
490013;Советский Район;52.71667;41.45;A;72;92545
571170;Бугульма;54.5378;52.7985;P;73;91900
537737;КУЗНЕЦК,Кузнецк;53.11675;46.60037;P;57;90480
548395;КИРОВО-ЧЕПЕЦК,Кирово-Чепецк;58.55386;50.03986;P;33;90252
1510350;БЕРДСК,Бердск;54.7551;83.0967;P;53;90250
561887;ГАТЧИНА,Гатчина;59.57639;30.12833;P;42;89761
498525;Саров,Сароў;54.93583;43.32352;P;51;88000
466885;Ейск;46.7055;38.2739;P;38;87814
570427;БУЗУЛУК,Бузулук;52.7807;52.2635;P;55;87714
558146;Губкин;51.28167;37.54583;P;9;87000
569742;ЧАЙКОВСКИЙ,Чайковский;56.76864;54.11484;P;90;86712
2014022;Усолье-Сибирское;52.75194;103.64528;P;20;85900
468250;ЕГОРЬЕВСК;55.38283;39.03233;P;47;85200
1485724;ЮРГА,Юрга;55.72306;84.88611;P;29;84220
1511494;АНЖЕРО-СУДЖЕНСК,Анжеро-Судженск;56.081;86.0285;P;29;82526
504003;Пушкин;59.68733;30.34046;P;66;82416
1489246;ТРОИЦК,Троицк;54.0979;61.5773;P;13;82338
580054;Azov - Азов,Азов;47.10779;39.41648;P;61;82133
551847;КАСПИЙСК,Каспийск;42.88165;47.63919;P;17;81752
466990;ЕССЕНТУКИ,Ессентуки;44.04444;42.86056;P;70;81015
547523;КЛИН,Клин;56.33333;36.73333;P;47;80778
538052;Куйбышевский Район;53.14685;50.08634;A;65;80439
1486910;Вркута,ВОРКУТА,Воркута;67.49884;64.05253;P;34;80039
540761;КРОПОТКИН,Кропоткин;45.4375;40.57556;P;38;79599
1492517;ШАДРИНСК,Шадринск;56.0852;63.6335;P;40;79479
470546;Виборг,Выборг,Вборгъ,Горад Выбарг;60.70763;28.75283;P;42;78633
472226;Волжский Район;53.25;50.08333;A;65;78609
502018;РЕУТОВ,Реутов;55.76111;37.8575;P;47;78370
471656;ВОСКРЕСЕНСК,Воскресенск;55.31733;38.65264;P;47;77086
526480;МИНЕРАЛЬНЫЕ ВОДЫ,Минералније Води,Минеральные Воды,Мінеральні води;44.21028;43.13528;P;70;76280
2026643;Биробиджан;48.7916;132.9247;P;89;76146
553399;Каменск,Каменск-Шахтинский;48.31779;40.25948;P;61;75814
1510469;Белово;54.4165;86.2976;P;29;75764
569591;ЧЕХОВ,Чехов;55.1477;37.47728;P;47;75643
1511330;АСБЕСТ,Асбест;57.00993;61.45776;P;71;74583
558115;Гудермесский Район;43.33333;46.16667;A;12;72881
1498693;МИНУСИНСК,Минусинск;53.71028;91.6875;P;91;72781
561627;ГЕОРГИЕВСК,Георгиевск;44.15194;43.46972;P;70;72649
468082;Јелабуга,ЕЛАБУГА,Елабуга;55.76127;52.06493;P;73;72643
523426;Наро-Фоминск;55.38752;36.73307;P;47;72632
515083;Орджоникидзевская;43.3195;45.04911;P;19;71841
547846;Кизилюртовский Район;43.25;46.91667;A;17;71826
1508054;ЧЕРНОГОРСК,Черногорск;53.82361;91.28417;P;31;71582
1488253;Зеленогорск;56.1124;94.5985;P;91;71354
1502603;Копейск;55.131;61.6792;P;13;70780
472278;Вольск;52.04541;47.37993;P;67;70500
577881;БЕЛОРЕЦК,Белорецк;53.96306;58.39806;P;8;70468
